time,reason,direction,entry
2025-12-30 11:50:00,signal_while_in_position,short,4376.4732
2025-12-30 12:20:00,signal_while_in_position,long,4373.9156
2025-12-30 19:45:00,signal_while_in_position,short,4402.5114
2025-12-30 22:25:00,signal_while_in_position,long,4400.3256
2025-12-31 01:45:00,signal_while_in_position,short,4387.6722
2026-01-01 01:55:00,signal_while_in_position,short,4338.026
2026-01-02 09:45:00,signal_while_in_position,long,4361.4594
2026-01-02 10:10:00,signal_while_in_position,short,4363.1024
2026-01-02 17:20:00,signal_while_in_position,short,4400.6002
2026-01-03 04:15:00,signal_while_in_position,long,4329.2864
2026-01-05 11:55:00,signal_while_in_position,short,4415.3452
2026-01-06 01:40:00,signal_while_in_position,short,4454.998
2026-01-06 02:10:00,signal_while_in_position,long,4454.783
2026-01-06 02:25:00,signal_while_in_position,short,4456.0001999999995
2026-01-06 02:50:00,signal_while_in_position,long,4455.4954
2026-01-06 03:05:00,signal_while_in_position,short,4455.0846
2026-01-06 04:40:00,signal_while_in_position,short,4454.2328
2026-01-06 05:45:00,signal_while_in_position,long,4457.637000000001
2026-01-06 16:15:00,signal_while_in_position,long,4472.4774
2026-01-06 19:20:00,signal_while_in_position,long,4460.5246
2026-01-06 20:55:00,signal_while_in_position,long,4472.0628
2026-01-07 02:30:00,signal_while_in_position,short,4499.8396
2026-01-07 11:55:00,signal_while_in_position,short,4487.9226
2026-01-07 20:25:00,signal_while_in_position,long,4452.8166
2026-01-07 22:20:00,signal_while_in_position,short,4459.0598
2026-01-08 14:20:00,signal_while_in_position,long,4429.0414
2026-01-09 09:40:00,signal_while_in_position,long,4466.0256
2026-01-09 16:30:00,signal_while_in_position,short,4482.2754
2026-01-09 19:45:00,signal_while_in_position,long,4479.1988
2026-01-12 19:15:00,signal_while_in_position,short,4603.2788
2026-01-13 00:25:00,signal_while_in_position,short,4636.3362
2026-01-13 10:05:00,signal_while_in_position,long,4590.5008
2026-01-13 10:25:00,signal_while_in_position,short,4596.4968
2026-01-13 10:35:00,signal_while_in_position,long,4593.8628
2026-01-13 14:05:00,signal_while_in_position,short,4601.553
2026-01-13 19:15:00,signal_while_in_position,short,4595.126
2026-01-13 23:55:00,signal_while_in_position,long,4624.4796
2026-01-14 00:05:00,signal_while_in_position,short,4624.052
2026-01-14 03:30:00,signal_while_in_position,long,4597.174999999999
2026-01-14 04:25:00,signal_while_in_position,short,4600.2204
2026-01-14 08:45:00,signal_while_in_position,short,4616.008
2026-01-14 13:50:00,signal_while_in_position,short,4644.4169999999995
2026-01-15 12:20:00,signal_while_in_position,long,4594.6492
2026-01-15 12:40:00,signal_while_in_position,short,4597.0878
2026-01-16 05:05:00,signal_while_in_position,long,4610.638
2026-01-16 05:40:00,signal_while_in_position,long,4618.5168
2026-01-16 16:40:00,signal_while_in_position,short,4611.3384
2026-01-16 18:50:00,signal_while_in_position,short,4610.308
2026-01-16 22:25:00,signal_while_in_position,short,4608.9598
2026-01-17 02:00:00,signal_while_in_position,long,4588.3616
2026-01-19 11:00:00,signal_while_in_position,long,4666.1986
2026-01-19 16:45:00,signal_while_in_position,short,4673.0484
2026-01-19 18:10:00,signal_while_in_position,long,4672.8516
2026-01-19 18:25:00,signal_while_in_position,short,4673.899
2026-01-19 19:25:00,signal_while_in_position,long,4668.601
2026-01-20 03:00:00,signal_while_in_position,short,4681.4776
2026-01-20 08:55:00,signal_while_in_position,short,4668.9338
2026-01-20 11:05:00,signal_while_in_position,short,4672.972
2026-01-20 11:10:00,signal_while_in_position,long,4672.6774
2026-01-20 20:25:00,signal_while_in_position,short,4734.6956
2026-01-20 23:00:00,signal_while_in_position,long,4743.539
2026-01-21 02:50:00,signal_while_in_position,short,4762.0732
2026-01-21 04:55:00,signal_while_in_position,long,4757.2144
2026-01-21 05:10:00,signal_while_in_position,long,4758.3222
2026-01-21 05:30:00,signal_while_in_position,short,4764.786599999999
2026-01-21 17:20:00,signal_while_in_position,long,4864.4638
2026-01-21 21:05:00,signal_while_in_position,long,4865.393
2026-01-21 23:50:00,signal_while_in_position,long,4842.4254
2026-01-22 00:15:00,signal_while_in_position,short,4849.7578
2026-01-22 10:30:00,signal_while_in_position,short,4790.3824
2026-01-22 11:20:00,signal_while_in_position,long,4788.2324
2026-01-22 11:55:00,signal_while_in_position,long,4793.7358
