date,trades,wins,losses,pnl
2026-04-07,1,0,1,-123.39
2026-04-29,15,11,4,545.13
2026-04-30,16,9,7,229.76
2026-05-01,22,13,9,306.13
2026-05-02,5,2,3,11.31
2026-05-04,19,7,12,-43.64
2026-05-05,15,6,9,-84.82
2026-05-06,21,8,13,-41.92
2026-05-07,19,7,12,143.01
2026-05-08,16,8,8,81.47
2026-05-09,2,1,1,2.7
2026-05-11,13,6,7,-72.05
2026-05-12,22,7,15,-163.36
2026-05-13,15,5,10,-57.03
2026-05-14,22,7,15,-253.1
2026-05-15,25,14,11,352.96
2026-05-16,5,2,3,18.04
2026-05-18,12,6,6,217.73
2026-05-19,18,4,14,-447.88
2026-05-20,18,11,7,497.65
2026-05-21,10,6,4,240.0
2026-05-22,18,8,10,251.17
2026-05-23,5,3,2,69.86
2026-05-25,17,8,9,284.06
2026-05-26,17,4,12,-194.54
2026-05-27,18,4,14,-489.61
2026-05-28,21,11,10,122.48
