time,reason,direction,entry
2026-05-26 14:20:00,signal_while_in_position,long,4531.6774
2026-05-27 03:00:00,signal_while_in_position,long,4488.0074
2026-05-27 06:50:00,signal_while_in_position,long,4502.9796
2026-05-27 09:10:00,signal_while_in_position,long,4515.247
2026-05-27 12:25:00,signal_while_in_position,short,4500.7101999999995
2026-05-27 17:50:00,signal_while_in_position,long,4488.6336
2026-05-28 01:25:00,signal_while_in_position,long,4443.5199999999995
2026-05-28 03:15:00,signal_while_in_position,short,4451.3607999999995
2026-05-28 03:35:00,signal_while_in_position,long,4450.201
2026-05-28 04:10:00,signal_while_in_position,long,4450.0684
2026-05-28 06:30:00,signal_while_in_position,short,4456.6496
