time,open,high,low,close,volume
2026-06-01 06:00:00 CST,4574.5,4584.6,4548.1,4551.7,2746.0
2026-06-01 06:05:00 CST,4551.0,4557.9,4550.0,4556.5,1262.0
2026-06-01 06:10:00 CST,4556.0,4565.9,4554.1,4565.2,1316.0
2026-06-01 06:15:00 CST,4565.0,4567.4,4561.8,4567.2,897.0
2026-06-01 06:20:00 CST,4567.2,4567.2,4561.7,4563.8,674.0
2026-06-01 06:25:00 CST,4563.9,4564.9,4562.2,4563.6,361.0
2026-06-01 06:30:00 CST,4563.6,4567.2,4563.3,4566.2,525.0
2026-06-01 06:35:00 CST,4566.0,4567.0,4562.2,4562.2,520.0
2026-06-01 06:40:00 CST,4562.5,4566.2,4560.7,4566.1,651.0
2026-06-01 06:45:00 CST,4566.1,4571.3,4566.0,4568.9,950.0
2026-06-01 06:50:00 CST,4568.8,4569.9,4565.3,4565.6,567.0
2026-06-01 06:55:00 CST,4565.8,4568.7,4565.8,4565.8,332.0
2026-06-01 07:00:00 CST,4566.0,4571.0,4565.8,4570.3,469.0
