date,trades,wins,losses,pnl
2026-03-04,18,7,11,98.16
2026-03-05,16,10,6,760.16
2026-03-06,19,6,13,151.25
2026-03-07,5,2,3,8.23
2026-03-09,14,9,5,574.17
2026-03-10,14,7,7,205.37
2026-03-11,19,11,8,294.14
2026-03-12,17,7,10,193.69
2026-03-13,14,7,7,223.89
2026-03-14,2,1,1,17.65
2026-03-16,16,3,13,-394.94
2026-03-17,9,6,3,163.58
2026-03-18,20,10,10,24.51
2026-03-19,17,8,9,314.27
2026-03-20,19,12,7,959.72
2026-03-21,2,1,1,66.33
2026-03-23,12,6,6,787.35
2026-03-24,18,8,10,595.85
2026-03-25,12,5,7,54.67
2026-03-26,16,11,5,1093.09
2026-03-27,19,12,7,929.28
2026-03-28,2,2,0,226.19
2026-03-30,11,7,4,680.04
2026-03-31,2,0,2,-93.21
2026-04-07,1,0,1,-123.39
2026-04-29,15,11,4,545.13
2026-04-30,16,9,7,229.76
2026-05-01,22,13,9,306.13
2026-05-02,5,2,3,11.31
2026-05-04,19,7,12,-43.64
2026-05-05,15,6,9,-84.82
2026-05-06,21,8,13,-41.92
2026-05-07,19,7,12,143.01
2026-05-08,16,8,8,81.47
2026-05-09,2,1,1,2.7
2026-05-11,13,6,7,-72.05
2026-05-12,22,7,15,-163.36
2026-05-13,15,5,10,-57.03
2026-05-14,22,7,15,-253.1
2026-05-15,25,14,11,352.96
2026-05-16,5,2,3,18.04
2026-05-18,12,6,6,217.73
2026-05-19,18,4,14,-447.88
2026-05-20,18,11,7,497.65
2026-05-21,10,6,4,240.0
2026-05-22,18,8,10,251.17
2026-05-23,5,3,2,69.86
2026-05-25,17,8,9,284.06
2026-05-26,17,4,12,-194.54
2026-05-27,18,4,14,-489.61
2026-05-28,21,11,10,122.48
