time,reason,direction,entry
2025-07-07 12:05:00,signal_while_in_position,long,3319.0751999999998
2025-07-07 12:20:00,signal_while_in_position,short,3319.3372
2025-07-07 19:45:00,signal_while_in_position,long,3311.0717999999997
2025-07-07 20:20:00,signal_while_in_position,long,3312.1886
2025-07-08 02:05:00,signal_while_in_position,short,3343.1496
2025-07-08 02:20:00,signal_while_in_position,short,3339.7158
2025-07-08 02:35:00,signal_while_in_position,long,3339.5190000000002
2025-07-08 19:55:00,signal_while_in_position,long,3331.0628
2025-07-10 01:30:00,signal_while_in_position,short,3321.59
2025-07-10 08:05:00,signal_while_in_position,long,3325.2988
2025-07-10 12:40:00,signal_while_in_position,long,3325.246
2025-07-10 15:35:00,signal_while_in_position,short,3334.7956
2025-07-11 14:05:00,signal_while_in_position,long,3346.1133999999997
2025-07-11 17:30:00,signal_while_in_position,long,3345.1661999999997
2025-07-12 04:40:00,signal_while_in_position,long,3370.0190000000002
2025-07-14 13:20:00,signal_while_in_position,short,3372.2866
2025-07-14 17:55:00,signal_while_in_position,long,3377.7504
2025-07-15 00:15:00,signal_while_in_position,long,3352.3808
2025-07-15 00:45:00,signal_while_in_position,short,3355.7776
2025-07-15 07:35:00,signal_while_in_position,long,3353.2494
2025-07-15 17:55:00,signal_while_in_position,long,3370.846
2025-07-16 03:05:00,signal_while_in_position,short,3335.6068
2025-07-16 03:25:00,signal_while_in_position,short,3334.2978
2025-07-16 03:40:00,signal_while_in_position,long,3334.337
2025-07-16 09:10:00,signal_while_in_position,long,3336.2606
2025-07-16 22:20:00,signal_while_in_position,long,3331.4885999999997
2025-07-17 00:55:00,signal_while_in_position,short,3359.4114
2025-07-17 01:35:00,signal_while_in_position,long,3359.1482
2025-07-17 02:25:00,signal_while_in_position,short,3362.8136
2025-07-17 03:20:00,signal_while_in_position,short,3355.1686
2025-07-17 04:10:00,signal_while_in_position,long,3354.864
2025-07-17 04:30:00,signal_while_in_position,short,3355.2922
2025-07-17 06:00:00,signal_while_in_position,long,3355.2752
