time,timestamp,open,high,low,close,volume
2026-05-04 06:00:00,1777845600,4642.9,4653.0,4627.4,4637.3,2210.0
2026-05-04 06:05:00,1777845900,4636.6,4639.3,4633.0,4633.5,837.0
2026-05-04 06:10:00,1777846200,4633.8,4635.5,4630.3,4634.3,1175.0
2026-05-04 06:15:00,1777846500,4634.3,4634.9,4628.6,4633.7,813.0
2026-05-04 06:20:00,1777846800,4633.8,4633.8,4623.6,4628.9,931.0
2026-05-04 06:25:00,1777847100,4628.5,4634.5,4628.1,4632.6,529.0
2026-05-04 06:30:00,1777847400,4632.5,4635.6,4631.3,4634.9,439.0
2026-05-04 06:35:00,1777847700,4634.9,4638.4,4634.0,4637.0,606.0
2026-05-04 06:40:00,1777848000,4637.0,4640.9,4636.9,4639.4,814.0
2026-05-04 06:45:00,1777848300,4639.4,4640.6,4637.0,4637.6,492.0
2026-05-04 06:50:00,1777848600,4637.5,4638.8,4631.0,4631.0,1086.0
2026-05-04 06:55:00,1777848900,4631.1,4633.2,4629.7,4629.9,836.0
2026-05-04 07:00:00,1777849200,4629.9,4632.3,4626.6,4630.9,1220.0
2026-05-04 07:05:00,1777849500,4630.8,4631.3,4624.1,4626.8,742.0
2026-05-04 07:10:00,1777849800,4626.8,4627.4,4622.4,4626.4,810.0
2026-05-04 07:15:00,1777850100,4626.6,4628.6,4624.4,4627.8,538.0
2026-05-04 07:20:00,1777850400,4627.2,4627.6,4625.3,4627.2,306.0
2026-05-04 07:25:00,1777850700,4626.7,4629.1,4626.0,4628.3,345.0
2026-05-04 07:30:00,1777851000,4628.1,4629.8,4626.6,4629.1,422.0
2026-05-04 07:35:00,1777851300,4629.1,4630.3,4626.0,4626.0,466.0
2026-05-04 07:40:00,1777851600,4626.3,4626.4,4623.8,4625.0,624.0
2026-05-04 07:45:00,1777851900,4624.7,4627.6,4622.8,4625.6,637.0
2026-05-04 07:50:00,1777852200,4625.5,4628.2,4624.2,4627.3,354.0
2026-05-04 07:55:00,1777852500,4627.4,4628.6,4623.4,4625.3,468.0
2026-05-04 08:00:00,1777852800,4624.8,4624.9,4615.8,4619.8,2037.0
2026-05-04 08:05:00,1777853100,4619.7,4628.4,4618.4,4626.7,1333.0
2026-05-04 08:10:00,1777853400,4626.8,4627.5,4621.2,4623.5,847.0
2026-05-04 08:15:00,1777853700,4623.7,4626.5,4616.2,4618.9,1119.0
2026-05-04 08:20:00,1777854000,4619.2,4620.8,4613.2,4615.4,1372.0
2026-05-04 08:25:00,1777854300,4615.6,4618.0,4612.4,4617.2,1042.0
2026-05-04 08:30:00,1777854600,4617.5,4621.4,4616.1,4619.3,876.0
